x_est,y_est,z_est,x_mocap, y_mocap, z_mocap, x_uwb, y_uwb, z_mb1202
0.0,0.0,0.0,1.6899108231882565e-05,-2.172470203731791e-06,2.414131085970439e-05,0.0,0.0,0.25999999046325684
0.0,0.0,0.0,1.0063171430374496e-05,4.419326614879537e-06,3.097724766121246e-05,0.0,0.0,0.25999999046325684
0.0,0.0,0.0,1.4945983821235131e-05,1.0522842785576358e-05,3.2686231861589476e-05,0.0,0.0,0.25999999046325684
0.0,0.0,0.0,1.1528015420481097e-05,1.1499404536152724e-05,3.58600627805572e-05,0.0,0.0,0.25999999046325684
0.0,0.0,0.0,2.3735046852380037e-05,1.8091201127390377e-05,3.415107858018018e-05,0.0,0.0,0.25999999046325684
0.0,0.0,0.0,1.3969421161164064e-05,9.057998795469757e-06,3.58600627805572e-05,0.0,0.0,0.25999999046325684
0.0,0.0,0.0,3.7155150494072586e-06,9.790420335775707e-06,3.512763942126185e-05,0.0,0.0,0.25999999046325684
0.0,0.0,0.0,-8.979797712527215e-06,5.395889274950605e-06,3.8789748941781e-05,0.0,0.0,0.25999999046325684
0.0,0.0,0.0,-2.216339089500252e-05,2.4662017494847532e-06,4.416084266267717e-05,0.0,0.0,0.25999999046325684
0.0,0.0,0.0,-3.241729791625403e-05,-1.9283295387140242e-06,5.050850086263381e-05,0.0,0.0,0.25999999046325684
0.0,0.0,0.0,-4.7554014599882066e-05,-9.49668901739642e-06,6.247138662729412e-05,0.0,0.0,0.25999999046325684
0.0,0.0,0.0,-6.610870332224295e-05,-8.275986147054937e-06,7.272529910551384e-05,0.0,0.0,0.25999999046325684
0.0,0.0,0.0,-7.880401972215623e-05,-7.0552823672187515e-06,8.200263982871547e-05,0.0,0.0,0.25999999046325684
0.0,0.0,0.0,-9.052276436705142e-05,-8.275986147054937e-06,9.10358430701308e-05,0.0,0.0,0.25999999046325684
0.0,0.0,0.0,-0.0001002883946057409,-8.275986147054937e-06,9.469794895267114e-05,0.0,0.0,0.25999999046325684
0.0,0.0,0.0,-0.00010858917084988207,5.130767704031314e-07,9.689521539257839e-05,0.0,0.0,0.25999999046325684
0.0,0.0,0.0,-9.833526564761996e-05,3.686904847199912e-06,8.883857663022354e-05,0.0,0.0,nan
0.0,0.0,0.0,-9.003448212752119e-05,4.907607944915071e-06,8.444404375040904e-05,0.0,0.0,nan
0.0,0.0,0.0,-9.58938617259264e-05,1.4673232726636343e-05,8.273505955003202e-05,0.0,0.0,0.25999999046325684
0.0,0.0,0.0,-0.00011005401756847277,2.9321670808712952e-05,8.590889046899974e-05,0.0,0.0,0.25999999046325684
