x_est,y_est,z_est,x_mocap, y_mocap, z_mocap, x_uwb, y_uwb, z_mb1202
0.0,0.0,0.0,-9.716033673612401e-06,-1.1741638445528224e-05,3.314971991130733e-06,-1.0378330945968628,0.7008639574050903,nan
0.0,0.0,0.0,-1.0692596333683468e-05,-1.2962341315869708e-05,3.5591126561485e-06,-0.6146464347839355,1.0846912860870361,nan
0.0,0.0,0.0,-1.1669158993754536e-05,-1.2962341315869708e-05,3.5591126561485e-06,-0.19757457077503204,2.0148844718933105,nan
0.0,0.0,0.0,-1.2645721653825603e-05,-1.3450622645905241e-05,4.535675088845892e-06,-0.4473624527454376,0.6014761328697205,nan
0.0,0.0,0.0,-1.2645721653825603e-05,-1.2718201105599292e-05,5.023956418881426e-06,0.16537803411483765,0.36006632447242737,nan
0.0,0.0,0.0,-1.1669158993754536e-05,-1.1009215995727573e-05,4.535675088845892e-06,-0.9774657487869263,1.887568473815918,nan
0.0,0.0,0.0,-9.227752343576867e-06,-1.0032654245151207e-05,3.5591126561485e-06,-0.5619165301322937,0.5070235729217529,nan
0.0,0.0,0.0,-1.0692596333683468e-05,-1.1497497325763106e-05,3.5591126561485e-06,0.1174318864941597,0.5575235486030579,nan
0.0,0.0,0.0,-1.0692596333683468e-05,-1.1009215995727573e-05,3.070831326112966e-06,-0.2947232723236084,0.7717525362968445,nan
0.0,0.0,0.0,-9.227752343576867e-06,-9.788513125386089e-06,2.5825499960774323e-06,-0.7254762053489685,1.0210320949554443,nan
0.0,0.0,0.0,-8.739471013541333e-06,-9.05609158508014e-06,3.070831326112966e-06,0.17451772093772888,0.6829339265823364,nan
0.0,0.0,0.0,-8.739471013541333e-06,-9.300231795350555e-06,4.047393758810358e-06,-0.22126324474811554,1.123579502105713,nan
0.0,0.0,0.0,-1.0204315003647935e-05,-1.0032654245151207e-05,4.535675088845892e-06,-0.038290850818157196,0.32799452543258667,nan
0.0,0.0,0.0,-1.0204315003647935e-05,-1.0276794455421623e-05,6.000518624205142e-06,-0.004506079480051994,0.3809688091278076,nan
0.0,0.0,0.0,-1.0692596333683468e-05,-9.544372915115673e-06,5.512237748916959e-06,0.11455043405294418,0.7315311431884766,nan
0.0,0.0,0.0,-1.3134002983861137e-05,-1.125335711549269e-05,6.244659289222909e-06,-0.5819782018661499,0.9781239032745361,nan
0.0,0.0,0.0,-1.2645721653825603e-05,-1.1497497325763106e-05,6.488799954240676e-06,-0.4175277352333069,1.3750592470169067,nan
0.0,0.0,0.0,-1.3134002983861137e-05,-1.1741638445528224e-05,6.000518624205142e-06,-0.12910814583301544,0.5518113970756531,nan
0.0,0.0,0.0,-1.4110564734437503e-05,-1.2718201105599292e-05,5.2680970838991925e-06,-0.11934196203947067,0.5579714775085449,nan
0.0,0.0,0.0,-1.3622284313896671e-05,-1.2474059985834174e-05,4.291534423828125e-06,0.475558340549469,0.5436585545539856,nan
0.0,0.0,0.0,-1.3622284313896671e-05,-1.198577865579864e-05,3.070831326112966e-06,-0.4029053747653961,0.769257128238678,nan
0.0,0.0,0.0,-1.4598846064473037e-05,-1.2962341315869708e-05,3.8032530937925912e-06,-0.9053820967674255,0.16077053546905518,nan
0.0,0.0,0.0,-1.4110564734437503e-05,-1.3206481526140124e-05,3.8032530937925912e-06,-0.32837727665901184,0.6856472492218018,nan
0.0,0.0,0.0,-1.3622284313896671e-05,-1.3450622645905241e-05,4.291534423828125e-06,0.1881311982870102,1.1397736072540283,nan
0.0,0.0,0.0,-1.3134002983861137e-05,-1.2718201105599292e-05,5.2680970838991925e-06,0.5246824622154236,0.6674063801765442,nan
0.0,0.0,0.0,-1.3134002983861137e-05,-1.198577865579864e-05,5.2680970838991925e-06,8.715160634744376e+22,8.928711421155104e+22,nan
0.0,0.0,0.0,-1.4110564734437503e-05,-1.2962341315869708e-05,6.000518624205142e-06,-0.48108813166618347,0.7859228849411011,nan
