x_est,y_est,z_est,x_mocap, y_mocap, z_mocap, x_uwb, y_uwb, z_mb1202
0.0,0.0,0.0,-2.526855496398639e-05,-0.0002703285135794431,0.00016958999913185835,0.0,0.0,nan
0.0,0.0,0.0,-2.2827149223303422e-05,-0.000261295324889943,0.0001485938992118463,0.0,0.0,nan
0.0,0.0,0.0,-2.1850586563232355e-05,-0.00025494766305200756,0.00013638686505146325,0.0,0.0,nan
0.0,0.0,0.0,-2.0385741663631052e-05,-0.0002486000012140721,0.00012613295984920114,0.0,0.0,nan
0.0,0.0,0.0,-1.9409179003559984e-05,-0.0002439613308524713,0.00011807632108684629,0.0,0.0,nan
0.0,0.0,0.0,-1.8432616343488917e-05,-0.00023932266049087048,0.00011270523100392893,0.0,0.0,nan
0.0,0.0,0.0,-1.7456055502407253e-05,-0.00023541641712654382,0.0001107521093217656,0.0,0.0,nan
0.0,0.0,0.0,-1.6479492842336185e-05,-0.00023297501320485026,0.00010855484288185835,0.0,0.0,nan
0.0,0.0,0.0,-1.599121060280595e-05,-0.00023175429669208825,0.0001063575764419511,0.0,0.0,nan
0.0,0.0,0.0,-1.6967773262877017e-05,-0.000229557030252181,0.0001034278902807273,0.0,0.0,nan
0.0,0.0,0.0,-1.6967773262877017e-05,-0.000229557030252181,0.00010196304356213659,0.0,0.0,nan
0.0,0.0,0.0,-1.6479492842336185e-05,-0.000229557030252181,0.00010123062384082004,0.0,0.0,nan
0.0,0.0,0.0,-1.6479492842336185e-05,-0.00022980118228588253,0.00010025405936175957,0.0,0.0,nan
0.0,0.0,0.0,-1.599121060280595e-05,-0.00022980118228588253,9.92774948826991e-05,0.0,0.0,nan
0.0,0.0,0.0,-1.5502930182265118e-05,-0.00023004531976766884,9.781265544006601e-05,0.0,0.0,nan
0.0,0.0,0.0,-1.5502930182265118e-05,-0.000230777746764943,9.708022844279185e-05,0.0,0.0,nan
0.0,0.0,0.0,-1.5014648852229584e-05,-0.00023199844872578979,9.63478087214753e-05,0.0,0.0,nan
0.0,0.0,0.0,-1.452636752219405e-05,-0.0002322425862075761,9.63478087214753e-05,0.0,0.0,nan
0.0,0.0,0.0,-1.3549804862122983e-05,-0.000230777746764943,9.561538900015876e-05,0.0,0.0,nan
0.0,0.0,0.0,-1.2573242202051915e-05,-0.00022980118228588253,9.463882452109829e-05,0.0,0.0,nan
0.0,0.0,0.0,-1.062011688190978e-05,-0.00022931289277039468,9.512710676062852e-05,0.0,0.0,nan
0.0,0.0,0.0,-3.356933666509576e-05,-0.00012433242227416486,0.00013345718616619706,0.0,0.0,nan
0.0,0.0,0.0,-0.00012243652599863708,1.9222259652451612e-05,0.00011832046584459022,0.0,0.0,nan
0.0,0.0,0.0,-0.00013415527064353228,-0.0001465492241550237,0.0002826270938385278,0.0,0.0,nan
0.0,0.0,0.0,-7.312011439353228e-05,-0.00037262344267219305,0.00022208022710401565,0.0,0.0,nan
0.0,0.0,0.0,-4.4799806346418336e-05,-0.00036261367495171726,0.00019913101277779788,0.0,0.0,nan
0.0,0.0,0.0,4.406738298712298e-05,-0.0005181312444619834,0.00017300796753261238,0.0,0.0,nan
0.0,0.0,0.0,9.875488467514515e-05,-0.0006836585816927254,0.00016983413661364466,0.0,0.0,nan
0.0,0.0,0.0,0.00015686034748796374,-0.0006138343596830964,0.00017422866949345917,0.0,0.0,nan
0.0,0.0,0.0,0.00012170409900136292,-0.0005713538848794997,0.00016836929717101157,0.0,0.0,nan
0.0,0.0,0.0,-0.00029919433291070163,-0.0008831215091049671,-1.6689300537109375e-05,0.0,0.0,nan
0.0,0.0,0.0,-0.0009530029492452741,-0.0013062171638011932,-0.003825283143669367,0.0,0.0,nan
0.0,0.0,0.0,0.0021514892578125,-0.0004981117090210319,-0.010993251577019691,0.0,0.0,nan
0.0,0.0,0.0,0.005990356672555208,0.0012213706504553556,-0.01865340769290924,0.0,0.0,nan
0.0,0.0,0.0,0.008212524466216564,0.0023864097893238068,-0.026973964646458626,0.0,0.0,nan
0.0,0.0,0.0,0.007960570976138115,0.0028827476780861616,-0.0353892482817173,0.0,0.0,nan
0.0,0.0,0.0,0.006911254953593016,0.0029982260894030333,-0.04503890499472618,0.0,0.0,nan
0.0,0.0,0.0,0.005983032286167145,0.002455745590850711,-0.05576522275805473,0.0,0.0,nan
0.0,0.0,0.0,0.005480590742081404,0.0004850425757467747,-0.06721224635839462,0.0,0.0,nan
0.0,0.0,0.0,0.006901489105075598,-0.0016607093857601285,-0.07990682870149612,0.0,0.0,nan
0.0,0.0,0.0,0.007575805764645338,-0.004678287543356419,-0.09219881892204285,0.0,0.0,nan
0.0,0.0,0.0,0.008453735150396824,-0.0090330233797431,-0.1052757203578949,0.0,0.0,0.25999999046325684
0.0,0.0,0.0,0.009304321371018887,-0.012565250508487225,-0.11716940253973007,0.0,0.0,0.27000001072883606
0.0,0.0,0.0,0.009193481877446175,-0.015309879556298256,-0.1289905607700348,0.0,0.0,nan
0.0,0.0,0.0,0.009481078945100307,-0.016958316788077354,-0.1415923684835434,0.0,0.0,nan
0.0,0.0,0.0,0.010339477099478245,-0.017656315118074417,-0.15589193999767303,0.0,0.0,nan
0.0,0.0,0.0,0.011995727196335793,-0.017459293827414513,-0.1723208874464035,0.0,0.0,nan
0.0,0.0,0.0,0.013049926608800888,-0.017071109265089035,-0.19089668989181519,0.0,0.0,nan
0.0,0.0,0.0,0.014420532621443272,-0.01798248663544655,-0.21111178398132324,0.0,0.0,nan
0.0,0.0,0.0,0.01554846204817295,-0.019454166293144226,-0.23017843067646027,0.0,0.0,nan
0.0,0.0,0.0,0.016431761905550957,-0.02085065096616745,-0.24731381237506866,0.0,0.0,nan
0.0,0.0,0.0,0.01726965419948101,-0.021511539816856384,-0.2627839148044586,0.0,0.0,nan
0.0,0.0,0.0,0.01855773851275444,-0.021983707323670387,-0.2794693112373352,0.0,0.0,0.27000001072883606
0.0,0.0,0.0,0.01975353993475437,-0.021290836855769157,-0.2984466254711151,0.0,0.0,0.28999999165534973
0.0,0.0,0.0,0.02131359837949276,-0.01941046491265297,-0.31976914405822754,0.0,0.0,0.30000001192092896
0.0,0.0,0.0,0.023164184764027596,-0.01743878610432148,-0.3432604670524597,0.0,0.0,0.3199999928474426
0.0,0.0,0.0,0.024539673700928688,-0.01616925373673439,-0.3662682771682739,0.0,0.0,0.3499999940395355
0.0,0.0,0.0,0.026377564296126366,-0.015808170661330223,-0.38796335458755493,0.0,0.0,0.3700000047683716
0.0,0.0,0.0,0.028771117329597473,-0.01580865867435932,-0.40862253308296204,0.0,0.0,0.38999998569488525
0.0,0.0,0.0,0.03189709410071373,-0.015740543603897095,-0.42878708243370056,0.0,0.0,0.4099999964237213
0.0,0.0,0.0,0.035502076148986816,-0.015219058841466904,-0.4490584433078766,0.0,0.0,0.4300000071525574
0.0,0.0,0.0,0.03886096179485321,-0.015189762227237225,-0.46898213028907776,0.0,0.0,0.44999998807907104
0.0,0.0,0.0,0.042072877287864685,-0.016517398878932,-0.48810139298439026,0.0,0.0,0.41999998688697815
